Gene1,Gene2
E2F6,SGTA
E2F6,DNAJC11
E2F6,SEH1L
E2F6,USP37
E2F6,GNB4
E2F6,GUSB
E2F6,RANBP3
E2F6,TBC1D15
E2F6,CASP2
E2F6,STK25
E2F6,TRIM44
E2F6,RPA2
E2F6,ATAD2
E2F6,PNPLA8
E2F6,RPRD1B
E2F6,CENPK
E2F6,TMX3
E2F6,CALU
E2F6,CHP1
E2F6,MCM4
E2F6,ASF1B
E2F6,TMEM109
E2F6,ERLIN1
E2F6,CAD
E2F6,NCAPG
E2F6,NUP155
E2F6,PRIM1
E2F6,TRMT2A
E2F6,PRMT7
E2F6,GTF2H1
E2F6,CENPA
E2F6,L2HGDH
E2F6,THUMPD3
E2F6,ODC1
E2F6,MNS1
E2F6,PCLAF
E2F6,GOLT1B
E2F6,MIS12
E2F6,USP4
E2F6,CDC45
E2F6,TRIM59
E2F6,WDHD1
E2F6,SPRYD4
E2F6,CPQ
E2F6,TUBGCP3
E2F6,CDC7
E2F6,HLF
E2F6,LDHB
E2F6,RFC4
E2F6,TK1
E2F6,LAP3
E2F6,EZR
E2F6,MSH6
E2F6,TM7SF3
E2F6,PPT1
E2F6,GMCL1
E2F6,PTDSS1
E2F6,GEMIN5
E2F6,TBC1D20
E2F6,UBE2G2
E2F6,RNF2
E2F6,CDC6
E2F6,CHAMP1
E2F6,PIP4K2A
E2F6,OSTM1
E2F6,SPHK1
E2F6,TFRC
E2F6,NUDT4
E2F6,RAD51
E2F6,METAP1D
E2F6,ANXA6
E2F6,SMAD2
E2F6,AURKB
E2F6,PCMTD2
E2F6,NUP85
E2F6,STT3B
E2F6,XRCC5
E2F6,HMBS
E2F6,PTDSS2
E2F6,NPTN
E2F6,DCK
E2F6,RGS2
E2F6,RNF145
E2F6,NECAP2
E2F6,RPP40
E2F6,FIGNL1
E2F6,CAST
E2F6,RAD51AP1
E2F6,FRMD8
E2F6,GNPDA1
E2F6,TMEM97
E2F6,NADK
E2F6,FAR1
E2F6,ADK
E2F6,FUCA2
E2F6,LZTR1
E2F6,MFSD1
E2F6,CRNKL1
E2F6,WDR5
E2F6,NAGA
E2F6,CDT1
E2F6,F11R
E2F6,TES
E2F6,PDK3
E2F6,COQ8A
E2F6,RCBTB2
E2F6,POLR1B
E2F6,NGLY1
E2F6,DPH6
E2F6,HACD3
E2F6,ASAH1
E2F6,FCHSD2
E2F6,HERC4
E2F6,JPT2
E2F6,IARS
E2F6,MCM3
E2F6,MCFD2
E2F6,PBK
E2F6,TIPIN
E2F6,CMPK2
E2F6,TNFRSF21
E2F6,KPNA3
E2F6,CNP
E2F6,LPCAT1
E2F6,ABCF3
E2F6,MCM2
E2F6,MAPKAPK3
E2F6,CISH
E2F6,B3GALNT2
E2F6,STAT3
E2F6,TMEM186
E2F6,NASP
E2F6,SLC11A2
E2F6,PPME1
E2F6,MTHFD1
E2F6,ESYT2
E2F6,PUS7
E2F6,PPAT
E2F6,KLHL22
E2F6,GMNN
E2F6,BIRC5
E2F6,RRM2
E2F6,NUF2
E2F6,LONP1
E2F6,CUL4A
E2F6,CAPN7
E2F6,ATP6V1A
E2F6,NUDT9
E2F6,SACM1L
E2F6,BLCAP
E2F6,CCDC137
E2F6,CEP70
E2F6,SLC16A1
E2F6,PRPS2
E2F6,POLE3
E2F6,TMEM263
E2F6,ADD2
E2F6,LANCL2
E2F6,ELOVL1
E2F6,HMGCS1
E2F6,GATM
E2F6,SLC39A11
E2F6,TOLLIP
E2F6,MORC3
E2F6,FADS1
E2F6,FBXL5
E2F6,BTAF1
E2F6,RHOF
E2F6,TIFA
E2F6,EXOC3
E2F6,CTSL
E2F6,TRMT6
E2F6,STARD10
E2F6,PHF10
E2F6,CPT2
E2F6,VPS16
E2F6,MGST3
E2F6,CDCA3
E2F6,TBCD
E2F6,PSMF1
E2F6,HSPA4L
E2F6,TRMT2B
E2F6,PMPCA
E2F6,TMEM175
E2F6,NDE1
E2F6,HNRNPLL
E2F6,CSAD
E2F6,RRM1
E2F6,ARHGAP4
E2F6,SLC29A1
E2F6,PSAT1
E2F6,CCNF
E2F6,TBXAS1
E2F6,UHRF1
E2F6,ETFBKMT
E2F6,UBL4A
E2F6,AURKA
E2F6,SPTLC2
E2F6,POLD1
E2F6,NUDCD3
E2F6,TAF12
E2F6,RCC1
E2F6,VPS26C
E2F6,CTSC
E2F6,PLK1
E2F6,CLPTM1L
E2F6,DYNLT3
E2F6,GPCPD1
E2F6,VILL
E2F6,NDC1
E2F6,MAP2K1
E2F6,GARS
E2F6,SPTBN1
E2F6,PSEN2
E2F6,RCSD1
E2F6,HAGH
E2F6,COLGALT1
E2F6,NCAPH
E2F6,MFAP3
E2F6,PPOX
E2F6,RNF125
E2F6,NRBP1
E2F6,NUDT19
E2F6,SLC43A3
E2F6,DDX20
E2F6,CCNB2
E2F6,STOM
E2F6,SLC31A1
