Gene1,Gene2,Score
BMI1,GFI1,672.0
BMI1,GATA2,375.0
BMI1,PPM1H,617.0
BMI1,ARMC8,638.0
BMI1,MLKL,467.0
BMI1,HLF,265.0
BMI1,IRF8,349.0
BMI1,MLLT3,268.0
BMI1,EYA1,187.0
BMI1,MAN1A,279.0
BMI1,RNF125,232.0
BMI1,TIFA,228.0
BMI1,BCL2,220.0
BMI1,SLC12A6,187.0
BMI1,DHRS3,138.0
BMI1,RNF219,215.0
BMI1,PIK3C3,155.0
BMI1,IRAK3,277.0
BMI1,METAP1D,115.0
BMI1,ST8SIA4,187.0
BMI1,PSMF1,174.0
BMI1,WDR75,154.0
BMI1,PRKCH,151.0
BMI1,SERINC1,146.0
BMI1,PRKACB,141.0
BMI1,ZFP157,123.0
BMI1,MYCN,122.0
BMI1,EYA2,121.0
BMI1,GCNT2,114.0
BMI1,GBP7,114.0
BMI1,NDN,107.0
BMI1,LRRCC1,106.0
BMI1,IL27RA,101.0
CBX7,SHISA8,951.0
CBX7,CLCN4,950.0
CBX7,IL15RA,932.0
CBX7,PRKCH,942.0
CBX7,PLXNC1,802.0
CBX7,CSGALNACT1,1189.0
CBX7,EYA2,995.0
CBX7,FLT3,927.0
CBX7,RASSF5,926.0
CBX7,SLCO3A1,1032.0
CBX7,TIFA,828.0
CBX7,KCTD12,855.0
CBX7,PPM1H,777.0
CBX7,PHACTR2,887.0
CBX7,ZFP467,821.0
CBX7,LYN,902.0
CBX7,VAV3,840.0
CBX7,PARP12,864.0
CBX7,BCL2,954.0
CBX7,H2-AB1,982.0
CBX7,PARP8,777.0
CBX7,TMEM229B,812.0
CBX7,VLDLR,660.0
CBX7,MCTP1,751.0
CBX7,EPB41L4B,829.0
CBX7,TRIM47,661.0
CBX7,RGCC,819.0
CBX7,TNFRSF21,789.0
CBX7,TRPC6,760.0
CBX7,DHRS3,697.0
CBX7,RCSD1,681.0
CBX7,MAN1A,761.0
CBX7,TSC22D3,589.0
CBX7,MLLT3,669.0
CBX7,HLF,695.0
CBX7,SPNS2,674.0
CBX7,JUN,633.0
CBX7,GRIA3,583.0
CBX7,BMI1,553.0
CBX7,WLS,584.0
CBX7,RAB31,593.0
CBX7,SLC18A2,596.0
