Gene1,Gene2,Score
BMI1,GATA2,375.0
BMI1,PPM1H,617.0
BMI1,ARMC8,638.0
BMI1,SLC35D3,268.0
BMI1,MLLT3,268.0
BMI1,EYA1,187.0
BMI1,MAN1A,279.0
BMI1,TIFA,228.0
BMI1,SLC12A6,187.0
BMI1,DHRS3,138.0
BMI1,PIK3C3,155.0
BMI1,IRAK3,277.0
BMI1,IRF5,185.0
BMI1,METAP1D,115.0
BMI1,ZUP1,193.0
BMI1,ST8SIA4,187.0
BMI1,PSMF1,174.0
BMI1,WDR75,154.0
BMI1,PRKCH,151.0
BMI1,SERINC1,146.0
BMI1,PRKACB,141.0
BMI1,ZFP157,123.0
BMI1,MYCN,122.0
BMI1,EYA2,121.0
BMI1,GBP7,114.0
BMI1,NDN,107.0
BMI1,LRRCC1,106.0
BMI1,SMU1,105.0
BMI1,IL27RA,101.0
CBFB,MSH6,2386.0
CBFB,SLC35A1,2378.0
CBFB,COPG1,2085.0
CBFB,ZFP1,1668.0
CBFB,PTPN22,2012.0
CBFB,SLC2A3,1502.0
CBFB,ARID5A,1700.0
CBFB,CALU,1753.0
CBFB,STAT1,1558.0
CBFB,TIMM29,1667.0
CBFB,IDH1,1540.0
CBFB,WDR5,1641.0
CBFB,NOP2,1401.0
CBFB,ACSL3,1354.0
CBFB,ZFP512,1664.0
CBFB,MTMR14,1752.0
CBFB,AW549877,1374.0
CBFB,CLPTM1L,1319.0
CBFB,WDR13,1849.0
CBFB,DNAJC11,1608.0
CBFB,ARHGAP1,1337.0
CBFB,SEH1L,1380.0
CBFB,ENTPD5,1516.0
CBFB,TES,1896.0
CBFB,DNAJC10,1166.0
CBFB,SNRNP200,1979.0
CBFB,NDOR1,1274.0
CBFB,GARS,1106.0
CBFB,EXD2,1568.0
CBFB,RANGAP1,1371.0
CBFB,ARL6IP6,1337.0
CBFB,RPRD1B,2128.0
CBFB,VPS26C,927.0
CBFB,PMPCA,1004.0
CBFB,IRF9,1298.0
CBFB,ERLIN2,1410.0
CBFB,UNK,1188.0
CBFB,DCAF13,1211.0
CBFB,SPNS2,1482.0
CBFB,BIRC2,1166.0
CBFB,MGRN1,1116.0
CBFB,PPAT,1126.0
CBFB,CASP2,1016.0
CBFB,WDR41,1380.0
CBFB,NUDCD3,1302.0
CBFB,PRKCH,1078.0
CBFB,MORC3,1068.0
CBFB,PGLYRP2,1575.0
CBFB,TMEM129,1328.0
CBFB,INPP5K,1275.0
CBFB,EIF1AD,1821.0
CBFB,TFR2,1464.0
CBFB,RHOT1,1180.0
CBFB,ATP2A3,1420.0
CBFB,FAM76B,1047.0
CBFB,GOSR2,1101.0
CBFB,WARS,1191.0
CBFB,STK25,1091.0
CBFB,NCEH1,1122.0
CBFB,CSTF2,1106.0
CBFB,CLPX,1189.0
CBFB,CRNKL1,1428.0
CBFB,RABGGTB,883.0
CBFB,GMFB,1137.0
CBFB,POLE3,1723.0
CBFB,EYA2,1293.0
CBFB,DYNC1LI2,1143.0
CBFB,DUS1L,1358.0
CBFB,REXO4,1500.0
CBFB,PJA2,915.0
CBFB,POR,1404.0
CBFB,TRMT2A,1469.0
CBFB,COLGALT1,1178.0
CBFB,GYPC,1019.0
CBFB,CMTM6,1001.0
CBFB,MED16,1263.0
CBFB,TBXA2R,1598.0
CBFB,FAR1,976.0
CBFB,RASSF5,1125.0
CBFB,CROT,936.0
CBFB,DDHD2,836.0
CBFB,1700017B05RIK,976.0
CBFB,ARMC8,1471.0
CBFB,TREML2,905.0
CBFB,UBA5,1483.0
CBFB,ANAPC2,1000.0
CBFB,DUSP2,1331.0
CBFB,GTF2H1,1221.0
CBFB,LRMP,932.0
CBFB,SERPINB9,857.0
CBFB,DPH6,1064.0
CBFB,CTDSP2,1112.0
CBFB,TNPO1,1106.0
CBFB,RNF115,852.0
CBFB,RASAL3,1088.0
CBFB,CDK17,1047.0
CBFB,PNPLA8,1058.0
CBFB,PSMF1,1382.0
CBFB,NGLY1,923.0
CBFB,PAQR7,1478.0
CBFB,LCK,1404.0
CBFB,PSD4,1043.0
CBFB,PAFAH2,1099.0
CBFB,CUL2,1436.0
CBFB,CHMP7,1273.0
CBFB,POLD1,926.0
CBFB,NT5C3,1173.0
CBFB,MAP2K5,1372.0
CBFB,CHORDC1,1069.0
CBFB,TMEM30A,782.0
CBFB,LONP2,947.0
CBFB,TESPA1,1492.0
CBFB,XPC,803.0
CBFB,SLC12A6,825.0
CBFB,ZDHHC6,1362.0
CBFB,ABHD16A,917.0
CBFB,KAT7,851.0
CBFB,FCHSD2,895.0
CBFB,PRKAB1,1011.0
CBFB,DNPEP,1004.0
CBFB,ARRDC1,645.0
CBFB,ANKRD46,1141.0
CBFB,METAP1,811.0
CBFB,ZZZ3,935.0
CBFB,BIRC3,824.0
CBFB,HMG20A,1005.0
CBFB,TCP11L2,1006.0
CBFB,XAB2,1094.0
CBFB,TOX4,1217.0
CBFB,CYB5R3,1127.0
CBFB,UBE2G2,1351.0
CBFB,CRK,818.0
CBFB,SACM1L,797.0
CBFB,SIAE,1041.0
CBFB,VPS33B,793.0
CBFB,ZFP62,708.0
CBFB,WDR75,1295.0
CBFB,MBTPS1,647.0
CBFB,CLCN4,820.0
CBFB,WDR45B,799.0
CBFB,FNTA,788.0
CBFB,BCLAF3,849.0
CBFB,CCNG2,1453.0
CBFB,EZR,792.0
CBFB,PPCDC,846.0
CBFB,SLC27A1,1199.0
